,Tables,Count
0,31 505 164 401 502 651 ,52050
1,277 466 638 811 ,51760
2,178 638 649 811 ,45471
3,466 638 543 649 811 759 ,43018
4,638 649 811 ,42818
5,466 638 649 713 811 ,41576
6,638 307 495 811 ,41164
7,178 638 620 811 ,39732
8,178 638 620 ,37740
9,514 716  -1 200 122 ,37699
10,638 262 495 811 ,37604
11,466 638 811 ,35173
12,466 638 811 209 ,32510
13,366 716  -1 200 156 122 ,32395
14,277 638 811 ,31289
15,730 243  -1 466 638 278 811 663 759 481 ,31030
16,178 466 638 620 649 811 ,30195
17,178 638 620 649 811 ,29852
18,277 638 649 811 ,29807
19,218 817 ,29275
20,689 277 277 759 287 287 785 ,28992
21, -1  -1  -1  -1  -1  -1  -1  -1  -1  -1 466 711 511 638 343 28 811 209 663 759 759 149 521 150 154 806 ,28875
22,277 178  -1 638 649 811 ,26909
23,218 466 638 817 233 811 ,25605
24,466 316 638 811 ,25157
25,466 466 774 638 811 ,24749
26, -1 9 145 24 93 1 409 676 ,24500
27,774 649 811 ,24276
28,745 454 24 409 811 ,24192
29,464 817 ,23216
30,253 253 253 253 253 253 253 253 466 466 638 101 811 759 759 759 481 481 481 481 329 325 754 199 199 199 564 ,23004
31,466 638 649 811 ,22997
32,218 638 649 811 ,22752
33,466 466 638 811 ,22577
34,212 428 638 450 222 758 485 649 811 734 ,21861
35,511 759 ,20583
36,277 638 ,20290
37,711 638 343 811 209 759 481 149 149 452 ,20272
38,466 638 811 209 209 644 ,20060
39,543 649 ,19853
40,166 649 ,19656
41,366 716 200 156 ,19437
42,496 513  -1 ,19183
43,466 316 638 811 209 ,18822
44,466 638 189 811 209 ,18468
45,254 811 759 759 ,18352
46,277 774 ,18261
47,28 668 ,18168
48,514 716 200 ,18116
49,811 209 544 759 ,18074
50,716  -1 200 122 ,17970
51,166 649 759 759 481 481 ,17950
52,496 513  -1  -1 638 817 166 145 543 649 759 481 ,17846
53,638 811 ,17813
54,369 632 140 ,17582
55,716 200 ,17400
56,254 27 811 759 759 50 ,17128
57,366 716 127 763 763 466 466 511 638 624 805 811 303 644 167 759 ,17120
58,774 296 649 811 399 ,17055
59,555 200 737 ,16970
60,466 638 166 649 811 ,16868
61,511 759 481 ,16786
62,649 811 ,16618
63,243  -1 638 278 811 663 759 481 ,16356
64, -1  -1 28 543 649 ,16342
65,466 774 638 811 ,16099
66,699 699 277 277  -1  -1  -1  -1  -1 466 582 511 638 28 28 649 649 811 759 674 45 ,16055
67,638 811 209 ,16028
68,277 466 638 811 759 ,15769
