T1,T2,T1C,T2C,Count
person,encounter,person_id,person_id,1946
encntr_alias,encounter,encntr_id,encntr_id,1898
encounter,person,person_id,person_id,1461
encounter,encntr_alias,encntr_id,encntr_id,1443
orders,encounter,encntr_id,encntr_id,1435
orders,person,person_id,person_id,1377
encounter,orders,encntr_id,encntr_id,914
person_alias,person,person_id,person_id,874
order_action,orders,order_id,order_id,825
order_detail,orders,order_id,order_id,788
clinical_event,encounter,encntr_id,encntr_id,658
encounter,clinical_event,encntr_id,encntr_id,653
person,orders,person_id,person_id,644
clinical_event,person,person_id,person_id,637
orders,order_action,order_id,order_id,559
health_plan,encntr_plan_reltn,health_plan_id,health_plan_id,542
prsnl_alias,prsnl,person_id,person_id,506
nomenclature,diagnosis,nomenclature_id,nomenclature_id,502
person,person_alias,person_id,person_id,498
prsnl,encntr_prsnl_reltn,person_id,prsnl_person_id,462
dispense_hx,orders,order_id,order_id,431
person,clinical_event,person_id,person_id,379
order_dispense,encounter,encntr_id,encntr_id,366
encntr_plan_reltn,encounter,encntr_id,encntr_id,343
orders,order_detail,order_id,order_id,343
encntr_alias,orders,encntr_id,encntr_id,318
prsnl,order_action,person_id,order_provider_id,316
dispense_hx,order_dispense,order_id,order_id,313
encounter,pft_encntr,encntr_id,encntr_id,302
encntr_prsnl_reltn,encounter,encntr_id,encntr_id,288
sch_event,sch_appt,sch_event_id,sch_event_id,275
charge_mod,charge,charge_item_id,charge_item_id,274
encntr_domain,orders,encntr_id,encntr_id,274
encounter,encntr_domain,encntr_id,encntr_id,266
clinical_event,encounter,person_id,person_id,257
encntr_loc_hist,encounter,encntr_id,encntr_id,254
encntr_domain,person,person_id,person_id,252
order_dispense,dispense_hx,order_id,order_id,249
orders,encntr_alias,encntr_id,encntr_id,249
diagnosis,encounter,encntr_id,encntr_id,242
bill_item_modifier,bill_item,bill_item_id,bill_item_id,236
clinical_event,encntr_alias,encntr_id,encntr_id,234
encounter,diagnosis,encntr_id,encntr_id,224
ce_blob,clinical_event,event_id,event_id,214
interface_charge,charge,charge_item_id,charge_item_id,213
bill_item,bill_item_modifier,bill_item_id,bill_item_id,212
clinical_event,orders,order_id,order_id,209
nomenclature,allergy,nomenclature_id,substance_nom_id,207
order_action,prsnl,order_provider_id,person_id,207
tracking_item,tracking_checkin,tracking_id,tracking_id,203
address,person,parent_entity_id,person_id,202
task_activity,person,person_id,person_id,202
med_flex_object_idx,med_def_flex,med_def_flex_id,med_def_flex_id,199
encounter,encntr_loc_hist,encntr_id,encntr_id,197
prsnl_org_reltn,organization,organization_id,organization_id,196
person_alias,encounter,person_id,person_id,194
prsnl,clinical_event,person_id,performed_prsnl_id,192
order_catalog_synonym,order_catalog,catalog_cd,catalog_cd,190
prsnl,order_action,person_id,action_personnel_id,188
order_radiology,rad_exam,order_id,order_id,187
phone,person,parent_entity_id,person_id,180
order_radiology,person,person_id,person_id,179
order_catalog,order_catalog_synonym,catalog_cd,catalog_cd,177
order_catalog_item_r,medication_definition,item_id,item_id,177
encntr_domain,encounter,encntr_id,encntr_id,174
task_activity,task_activity_assignment,task_id,task_id,174
organization,billing_entity,organization_id,organization_id,173
organization,location,organization_id,organization_id,171
long_text,order_comment,long_text_id,long_text_id,170
order_entry_format,order_catalog_synonym,oe_format_id,oe_format_id,170
task_activity,encounter,encntr_id,encntr_id,170
diagnosis,nomenclature,nomenclature_id,nomenclature_id,168
encntr_prsnl_reltn,prsnl,prsnl_person_id,person_id,168
bo_hp_reltn,benefit_order,benefit_order_id,benefit_order_id,167
pft_encntr,encounter,encntr_id,encntr_id,167
med_def_flex,medication_definition,item_id,item_id,164
lh_amb_qual_encntr_2016,lh_d_query,d_query_id,d_query_id,162
tracking_checkin,tracking_item,tracking_id,tracking_id,160
encounter,lh_amb_qual_encntr_2016,encntr_id,encntr_id,159
encounter,tracking_item,encntr_id,encntr_id,159
lh_amb_event_data_2016,lh_d_query,d_query_id,d_query_id,159
person,lh_amb_qual_encntr_2016,person_id,person_id,159
organization,be_org_reltn,organization_id,organization_id,158
nomenclature,procedure,nomenclature_id,nomenclature_id,157
orders,clinical_event,order_id,order_id,156
person,tracking_item,person_id,person_id,156
encntr_alias,clinical_event,encntr_id,encntr_id,155
prsnl,prsnl_alias,person_id,person_id,154
be_org_reltn,billing_entity,billing_entity_id,billing_entity_id,152
encounter,encntr_prsnl_reltn,encntr_id,encntr_id,151
organization,prsnl_org_reltn,organization_id,organization_id,144
order_action,prsnl,action_personnel_id,person_id,143
prsnl,order_action,person_id,supervising_provider_id,142
him_event_allocation,prsnl,prsnl_id,person_id,139
encounter,charge,encntr_id,encntr_id,138
ce_event_prsnl,clinical_event,event_id,event_id,134
person,encntr_domain,person_id,person_id,134
charge,pft_charge,charge_item_id,charge_item_id,131
clinical_event,encntr_domain,person_id,person_id,129
ce_date_result,clinical_event,event_id,event_id,127
orders,order_dispense,order_id,order_id,127
accession_order_r,orders,order_id,order_id,126
encntr_alias,encntr_loc_hist,encntr_id,encntr_id,124
ce_event_prsnl,person,person_id,person_id,123
person,sch_appt,person_id,person_id,123
med_def_flex,order_catalog_item_r,item_id,item_id,122
orders,accession_order_r,order_id,order_id,122
organization,encounter,organization_id,organization_id,122
orders,dispense_hx,order_id,order_id,120
task_activity,encntr_alias,encntr_id,encntr_id,120
clinical_event,prsnl,verified_prsnl_id,person_id,118
encounter,sch_appt,encntr_id,encntr_id,118
med_identifier,medication_definition,item_id,item_id,117
pft_acct_reltn,account,acct_id,acct_id,117
ce_med_result,clinical_event,event_id,event_id,116
clinical_event,clinical_event,parent_event_id,event_id,115
order_catalog,cs_component,catalog_cd,catalog_cd,115
alt_sel_list,alt_sel_cat,alt_sel_category_id,alt_sel_category_id,114
order_catalog_synonym,cs_component,synonym_id,comp_id,114
charge,encounter,encntr_id,encntr_id,113
item_definition,order_catalog_item_r,item_id,item_id,113
encntr_loc_hist,orders,encntr_id,encntr_id,112
orders,prsnl,last_update_provider_id,person_id,112
task_activity,ce_event_prsnl,event_id,event_id,112
sch_appt,sch_appt,sch_event_id,sch_event_id,111
encounter,order_dispense,encntr_id,encntr_id,110
encounter,product_event,encntr_id,encntr_id,110
task_activity_assignment,prsnl,assign_prsnl_id,person_id,110
dcp_forms_activity,encounter,encntr_id,encntr_id,106
prsnl,prsnl_org_reltn,person_id,person_id,105
app_prefs,name_value_prefs,app_prefs_id,parent_entity_id,104
dts_trans_stats,prsnl,trans_prsnl_id,person_id,103
him_event_allocation,prsnl_alias,prsnl_id,person_id,103
nomenclature,problem,nomenclature_id,nomenclature_id,103
result,perform_result,result_id,result_id,103
dts_trans_stats,person,patient_id,person_id,102
nomenclature,drg,nomenclature_id,nomenclature_id,102
pathway_catalog,pathway_comp,pathway_catalog_id,pathway_catalog_id,102
him_event_allocation,phone,prsnl_id,parent_entity_id,100
tracking_locator,tracking_checkin,tracking_id,tracking_id,100
account,pft_encntr,acct_id,acct_id,99
organization,pft_acct_reltn,organization_id,parent_entity_id,97
